n,maxW,maxV,capacityPerItmWSum,granularity,solver,time,maxRelErr,avgRelErr
15,2.6,250,0.5,0.5,DPByCapacity,374,0.00000000000000000000,0.00000000000000000000
15,2.6,250,0.5,0.5,VWRatioHeuristic,12,0.07183908045977011000,0.03200045778117974000
15,2.8000000000000003,250,0.5,0.5,NaiveRecursionSansConfigVars,192,0.00000000000000000000,0.00000000000000000000
15,2.8000000000000003,250,0.5,0.5,BranchAndBound,50,0.00000000000000000000,0.00000000000000000000
15,2.8000000000000003,250,0.5,0.5,DPByCapacity,379,0.00000000000000000000,0.00000000000000000000
15,2.8000000000000003,250,0.5,0.5,VWRatioHeuristic,12,0.07242798353909465000,0.02337420346457497200
15,3.0000000000000004,250,0.5,0.5,NaiveRecursionSansConfigVars,197,0.00000000000000000000,0.00000000000000000000
15,3.0000000000000004,250,0.5,0.5,BranchAndBound,48,0.00000000000000000000,0.00000000000000000000
15,3.0000000000000004,250,0.5,0.5,DPByCapacity,375,0.00000000000000000000,0.00000000000000000000
15,3.0000000000000004,250,0.5,0.5,VWRatioHeuristic,13,0.12027158098933075000,0.04258874067786533000
