n,maxW,maxV,capacityPerItmWSum,granularity,solver,time,maxRelErr,avgRelErr
15,190,250,0.5,0.5,DPByCapacity,410,0.00000000000000000000,0.00000000000000000000
15,190,250,0.5,0.5,VWRatioHeuristic,16,0.20096618357487922000,0.04474114730696539000
15,200,250,0.5,0.5,NaiveRecursionSansConfigVars,225,0.00000000000000000000,0.00000000000000000000
15,200,250,0.5,0.5,BranchAndBound,42,0.00000000000000000000,0.00000000000000000000
15,200,250,0.5,0.5,DPByCapacity,723,0.00000000000000000000,0.00000000000000000000
15,200,250,0.5,0.5,VWRatioHeuristic,19,0.08743927827897294000,0.03572719413169020000
15,210,250,0.5,0.5,NaiveRecursionSansConfigVars,241,0.00000000000000000000,0.00000000000000000000
15,210,250,0.5,0.5,BranchAndBound,46,0.00000000000000000000,0.00000000000000000000
15,210,250,0.5,0.5,DPByCapacity,534,0.00000000000000000000,0.00000000000000000000
15,210,250,0.5,0.5,VWRatioHeuristic,18,0.10382119682768565000,0.02457514721098254000
15,220,250,0.5,0.5,NaiveRecursionSansConfigVars,232,0.00000000000000000000,0.00000000000000000000
15,220,250,0.5,0.5,BranchAndBound,46,0.00000000000000000000,0.00000000000000000000
15,220,250,0.5,0.5,DPByCapacity,480,0.00000000000000000000,0.00000000000000000000
15,220,250,0.5,0.5,VWRatioHeuristic,17,0.19462465245597776000,0.07010377189661808000
15,230,250,0.5,0.5,NaiveRecursionSansConfigVars,227,0.00000000000000000000,0.00000000000000000000
15,230,250,0.5,0.5,BranchAndBound,45,0.00000000000000000000,0.00000000000000000000
15,230,250,0.5,0.5,DPByCapacity,692,0.00000000000000000000,0.00000000000000000000
15,230,250,0.5,0.5,VWRatioHeuristic,20,0.17550410754294250000,0.08132221041078018000
15,240,250,0.5,0.5,NaiveRecursionSansConfigVars,217,0.00000000000000000000,0.00000000000000000000
15,240,250,0.5,0.5,BranchAndBound,45,0.00000000000000000000,0.00000000000000000000
15,240,250,0.5,0.5,DPByCapacity,608,0.00000000000000000000,0.00000000000000000000
15,240,250,0.5,0.5,VWRatioHeuristic,15,0.19864406779661017000,0.06729708713103094000
15,250,250,0.5,0.5,NaiveRecursionSansConfigVars,218,0.00000000000000000000,0.00000000000000000000
15,250,250,0.5,0.5,BranchAndBound,64,0.00000000000000000000,0.00000000000000000000
15,250,250,0.5,0.5,DPByCapacity,559,0.00000000000000000000,0.00000000000000000000
15,250,250,0.5,0.5,VWRatioHeuristic,19,0.34888059701492535000,0.07356867440811343000
